AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_178717	0.0	-	0.0	-
NM_001256380	83.0	3.03848740746	81.0	5.56616769134
NM_001204371	0.0	-	0.0	-
NM_178714	0.0	-	0.0	-
NM_011126	0.0	-	0.0	-
NM_178719	114.0	7.72142517727	54.0	13.3636008796
NM_001291894	0.0	-	0.0	-
NM_008774	473.0	57.7804612343	287.0	51.7356823635
NM_001281819	2.0	0.13533055737	2.0	0.183724764686
NM_001281818	35.0	1.7308265407	31.0	3.36134779583
NM_008321	56.0	20.2424976831	50.0	47.8449908036
NM_018789	36.0	3.92201822147	23.0	5.21945354221
NM_018788	463.0	26.6805054103	251.0	31.3280678914
NM_001256174	0.0	-	0.0	-
NM_018785	143.0	13.8180091252	140.0	16.8510659434
NM_018784	19.0	4.11130322986	16.0	5.56741711169
NM_018787	0.0	-	0.0	-
NM_001037987	3.0	0.192880142097	2.0	0.477455209683
NM_018780	0.0	-	0.0	-
NM_001159361	96.0	3.70994588776	81.0	5.9054388649
NM_001018013	0.0	-	0.0	-
NM_009692	14.0	4.88135128847	14.0	6.06638373963
NM_001101510	0.0	-	0.0	-
NM_001193274	0.0	-	0.0	-
NM_026977	303.0	38.1222176542	254.0	71.4860450831
NM_021462	982.0	98.1099834623	597.0	149.026745268
NM_178260	0.0	-	0.0	-
NM_001037143	0.0	-	0.0	-
NM_027840	0.0	-	0.0	-
NM_001291197	93.0	8.83779471506	64.0	33.1035612047
NM_027843	0.0	-	0.0	-
NM_027844	0.0	-	0.0	-
NM_001161355	0.0	-	0.0	-
NM_001163852	71.0	3.07807189766	47.0	9.7066815875
NM_001284219	20.0	1.53513339477	11.0	1.32401232413
NM_011346	0.0	-	0.0	-
NM_025340	59.0	11.7279585074	57.0	17.178988824
NM_147219	51.0	2.12464392588	47.0	3.28479303874
NM_008572	0.0	-	0.0	-
NM_001025386	0.0	-	0.0	-
NM_178615	86.0	11.2516590602	63.0	16.5541478478
NM_146448	0.0	-	0.0	-
NM_053103	87.0	4.95373590734	61.0	11.5395496765
NM_178612	177.0	34.235629579	166.0	77.485546082
NM_146449	0.0	-	0.0	-
NM_178613	10.0	1.23648217439	10.0	7.91917089163
NM_025335	64.0	2.03968653551	35.0	55.0545099658
NM_028595	0.0	-	0.0	-
NM_026975	151.0	71.3540109763	144.0	119.820498708
NM_001013829	3.0	0.663319513067	3.0	1.44135537149
NM_173415	1.0	0.0951350272814	1.0	0.240729513477
NM_001099774	0.0	-	0.0	-
NM_027158	0.0	-	0.0	-
NM_027159	28.0	5.65721416188	23.0	14.5914005103
NM_001033409	4.0	0.380330040062	4.0	0.474495776565
NM_001033408	0.0	-	0.0	-
NM_001109657	0.0	-	0.0	-
NM_022656	1330.0	82.0199842348	1270.0	91.4877866809
NM_022657	0.0	-	0.0	-
NM_027150	0.0	-	0.0	-
NM_022655	45.0	2.66903874318	40.0	4.76464638708
NM_027156	86.0	6.11341690169	81.0	14.5329159566
NM_022653	152.0	20.2559218319	133.0	22.1978503845
NM_027154	255.0	38.043916464	169.0	62.5997686127
NM_027155	0.0	-	0.0	-
NM_001111311	69.0	6.49082234605	61.0	9.59521459404
NM_001111316	0.0	-	0.0	-
NM_001111317	0.0	-	0.0	-
NM_001111314	1.0	0.110624256193	1.0	0.161502078662
NM_177175	0.0	-	0.0	-
NM_001287123	0.0	-	0.0	-
NM_001111318	0.0	-	0.0	-
NM_001159775	0.0	-	0.0	-
NM_019764	244.0	20.0558529811	201.0	29.8582452311
NM_181819	0.0	-	0.0	-
NM_026793	0.0	-	0.0	-
NM_026792	485.0	43.6340318324	374.0	117.337879086
NM_183199	0.0	-	0.0	-
NM_029687	0.0	-	0.0	-
NM_026797	34.0	3.16040306226	32.0	23.1100332938
NM_026796	38.0	8.15600590895	36.0	9.52490139501
NM_026794	111.0	73.9607672152	93.0	136.910281377
NM_011203	76.0	8.26935532778	75.0	11.0980648771
NM_011202	299.0	18.3569232226	166.0	31.8753249769
NM_011201	75.0	6.1325172167	55.0	14.5855399217
NM_011200	0.0	-	0.0	-
NM_011207	18.0	0.973576826527	17.0	2.13575013653
NM_011206	0.0	-	0.0	-
NM_183194	0.0	-	0.0	-
NM_021272	0.0	-	0.0	-
NM_173874	312.0	18.5917639407	191.0	25.2965902934
NM_019438	78.0	7.26602131836	76.0	8.68350877869
NM_019439	1.0	0.0767908902778	1.0	0.119488010332
NM_001134661	0.0	-	0.0	-
NM_173870	17.0	0.80764403177	10.0	2.14231302106
NM_028666	11.0	1.99333154742	10.0	3.86626188312
NM_019435	756.0	305.310497001	731.0	552.23192017
NM_019436	0.0	-	0.0	-
NM_019437	95.0	13.1853238153	31.0	22.8183802294
NM_019430	0.0	-	0.0	-
NM_019431	0.0	-	0.0	-
NM_019432	401.0	135.828965042	370.0	200.40731997
NM_016783	1928.0	355.168462214	1739.0	1018.8053756
